Time Stamp,Absolute Pressure [PSIA],Temperature [C],Mass Flow [SCCM],Gas Selected
55:54.8,14.69,23.07,0, N2
55:54.9,14.69,23.07,0, N2
55:54.9,14.69,23.07,0, N2
55:54.9,14.69,23.07,0, N2
55:55.0,14.69,23.07,0, N2
55:55.0,14.69,23.07,0, N2
55:55.0,14.69,23.07,0, N2
55:55.1,14.69,23.07,0, N2
55:55.1,14.69,23.07,0, N2
55:55.1,14.69,23.07,0, N2
55:55.2,14.69,23.07,0, N2
55:55.2,14.69,23.07,0, N2
55:55.2,14.69,23.07,0, N2
55:55.3,14.68,23.07,0, N2
55:55.3,14.69,23.07,0, N2
55:55.3,14.69,23.07,0, N2
55:55.3,14.69,23.07,0, N2
55:55.4,14.69,23.07,0, N2
55:55.4,14.68,23.07,0, N2
55:55.4,14.69,23.07,0, N2
55:55.5,14.69,23.07,0, N2
55:55.5,14.69,23.07,0, N2
55:55.5,14.69,23.07,0, N2
55:55.6,14.69,23.07,0, N2
55:55.6,14.69,23.07,0, N2
55:55.7,14.69,23.07,0, N2
55:55.7,14.69,23.07,0, N2
55:55.7,14.69,23.07,0, N2
55:55.7,14.69,23.07,0, N2
55:55.8,14.69,23.07,0, N2
55:55.8,14.68,23.07,0, N2
55:55.8,14.69,23.07,0, N2
55:55.9,14.69,23.07,0, N2
55:55.9,14.69,23.07,0, N2
55:55.9,14.69,23.07,0, N2
55:56.0,14.69,23.07,0, N2
55:56.0,14.69,23.07,0, N2
55:56.0,14.69,23.07,0, N2
55:56.1,14.69,23.07,0, N2
55:56.1,14.69,23.07,0, N2
55:56.1,14.69,23.07,0, N2
55:56.1,14.69,23.07,0, N2
55:56.1,14.69,23.07,0, N2
55:56.1,14.69,23.07,0, N2
55:56.1,14.69,23.07,0, N2